"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"101";"Галилео Галилей ";"galileo-galilej";"http://aroslanov.com/api/celebrity/galileo-galilej";"Галилео Галилей";"";"Ирина Староверова";"";"80483";"0";"10";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"102";"Ганнибал";"gannibal";"http://aroslanov.com/api/celebrity/gannibal";"Ганнибал";"";"Сергей Ким";"Зоя Койшыбаева";"82082";"78351";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"103";"Ганс Христиан Андерсен";"gans-hristian-andersen";"http://aroslanov.com/api/celebrity/gans-hristian-andersen";"Ганс Христиан Андерсен";"";"Наталья Няшина";"Майра Тургинбаева";"79950";"79417";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"104";"Ганс фон Бюлов";"gans-fon-byulov";"http://aroslanov.com/api/celebrity/gans-fon-byulov";"Ганс фон Бюлов";"";"Лия Будиянская";"";"82615";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"105";"Гаэтано Доницетти";"gaetano-donicetti";"http://aroslanov.com/api/celebrity/gaetano-donicetti";"Гаэтано Доницетти";"";"Ирина Староверова";"";"82615";"0";"9";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"106";"Гвидо Рени";"gvido-reni";"http://aroslanov.com/api/celebrity/gvido-reni";"Гвидо Рени";"";"Дария Ибрагимова";"Майра Тургинбаева";"81549";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"107";"Гектор Берлиоз";"gektor-berlioz";"http://aroslanov.com/api/celebrity/gektor-berlioz";"Гектор Берлиоз";"";"Лия Будиянская";"";"82082";"0";"9";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"108";"Гемфри Дэви";"gemfri-devi";"http://aroslanov.com/api/celebrity/gemfri-devi";"Гемфри Дэви";"";"Сергей Ким";"";"82082";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"109";"Генри Кавендиш";"genri-kavendish";"http://aroslanov.com/api/celebrity/genri-kavendish";"Генри Кавендиш";"";"Дария Ибрагимова";"";"79950";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"110";"Генри Форд";"genri-ford";"http://aroslanov.com/api/celebrity/genri-ford";"Генри Форд";"";"Сергей Ким";"Майра Тургинбаева";"77285";"81016";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"111";"Генрих Вильгельм Эрнст";"genrih-vilgelm-ernst";"http://aroslanov.com/api/celebrity/genrih-vilgelm-ernst";"Генрих Вильгельм Эрнст";"";"Лия Будиянская";"Майра Тургинбаева";"82082";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"112";"Генрих Гейне ";"genrih-gejne";"http://aroslanov.com/api/celebrity/genrih-gejne";"Генрих Гейне";"";"Ирина Староверова";"";"79950";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"113";"Генрих Герц";"genrih-gerc";"http://aroslanov.com/api/celebrity/genrih-gerc";"Генрих Герц";"";"Сергей Ким";"";"77818";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"114";"Георг Кантор";"georg-kantor";"http://aroslanov.com/api/celebrity/georg-kantor";"Георг Кантор";"";"Ирина Староверова";"Зоя Койшыбаева";"77818";"77285";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
